name,Static converters,Parts for metal machine-tools,Ball bearings,Signal generators / oscilloscopes,Roller bearings,Wood milling machines
2019,26.39643,26.78692,53.51885,31.71228,57.87561,52.85422
2020,26.86949,25.45505,60.66416,29.76191,61.938,30.66494
2021,28.00937,22.42486,65.09253,22.71883,60.39679,45.45898
2022,29.78498,24.43047,54.08952,27.59471,57.69257,44.04108
2023,35.59157,30.84745,52.56131,33.87761,59.98718,49.20087
2024,36.27612,32.4156,41.51495,31.66146,54.17333,51.87341
2025,34.29296,31.63892,38.07597,35.0999,50.13142,72.34644
