name,UNGA,UNSC
2000,87.5,97
2001,87.5,100
2002,86.8421052631579,99.26470588235294
2003,84.4155844155844,100
2004,87.67123287671232,99.15254237288136
2005,87.33333333333333,99.29577464788733
2006,91.58415841584159,100
2007,88.60759493670885,97.32142857142857
2008,87.82051282051282,100
2009,87.5,98.95833333333334
2010,86.80555555555556,98.30508474576271
2011,89.85507246376811,100
2012,84.45945945945947,99.05660377358491
2013,85.15625,97.87234042553192
2014,81.25,97.61904761904762
2015,82.6923076923077,96.875
2016,80.8641975308642,97.40259740259741
2017,87.7659574468085,100
2018,85.98130841121495,98.14814814814815
2019,87,95.1923076923077
2020,87,95.6140350877193
2021,84.88372093023256,96.49122807017544
2022,81.46067415730337,94.44444444444444
2023,77.8409090909091,93
2024,77.36842105263158,91.30434782608695
2025,85.44339096486335,96.66666666666667
